iter	Passed	Remaining
1517	565498	552087
1518	565815	551661
1519	566143	551245
1520	566453	550812
1521	566769	550385
1522	567082	549954
1523	567424	549552
1524	567723	549109
1525	568051	548695
1526	568385	548285
1527	568661	547820
1528	568934	547353
1529	569223	546900
1530	569592	546526
1531	569866	546060
1532	570201	545652
1533	570504	545215
1534	570804	544774
1535	571121	544350
1536	571456	543943
1537	571862	543603
1538	572112	543116
1539	572379	542645
1540	572857	542374
1541	573333	542100
1542	573645	541672
1543	573990	541275
1544	574268	540815
1545	574559	540368
1546	574889	539957
1547	575202	539530
1548	575518	539107
1549	575849	538698
1550	576192	538299
1551	576496	537865
1552	576802	537432
1553	577126	537017
1554	577429	536582
1555	577719	536135
1556	578025	535703
1557	578349	535289
1558	578645	534848
1559	578953	534419
1560	579300	534025
1561	579619	533606
1562	579930	533180
1563	580248	532760
1564	580569	532343
1565	580919	531952
1566	581245	531541
1567	581579	531136
1568	581921	530739
1569	582267	530345
1570	582579	529921
1571	582918	529521
1572	583234	529100
1573	583549	528679
1574	583838	528235
1575	584113	527777
1576	584473	527397
1577	584772	526962
1578	585081	526536
1579	585346	526071
1580	585642	525633
1581	585918	525178
